elevation,species,symbol,dist,mean,sd,lower,upper
high,spenceri,f_SP,normal,0.1084518,0.02169036,,
high,spenceri,beta.L_SP,uniform,0.00001,0,0.000001,0.0001
high,spenceri,beta.J_SP,uniform,0.000001,0,0.0000001,0.00001
high,spenceri,beta.S1_SP,uniform,0.000001,0,0.0000001,0.00001
high,spenceri,beta.S2_SP,uniform,0.000001,0,0.0000001,0.00001
high,spenceri,beta.S3_SP,uniform,0.000001,0,0.0000001,0.00001
high,spenceri,beta.S4_SP,uniform,0.000001,0,0.0000001,0.00001
high,spenceri,beta.A1_SP,uniform,0.000001,0,0.0000001,0.00001
high,spenceri,beta.A2_SP,uniform,0.000001,0,0.0000001,0.00001
high,spenceri,m.L_SP,normal,0.012355781,0.002471156,,
high,spenceri,m.J_SP,normal,0.012355781,0.002471156,,
high,spenceri,m.S1_SP,normal,0.001134251,0.00022685,,
high,spenceri,m.S2_SP,normal,0.001080891,0.000216178,,
high,spenceri,m.S3_SP,normal,0.000862221,0.000172444,,
high,spenceri,m.S4_SP,normal,0.000862221,0.000172444,,
high,spenceri,m.A1_SP,normal,0.000854725,0.000170945,,
high,spenceri,m.A2_SP,normal,0.000854725,0.000170945,,
high,spenceri,mu.J_SP,normal,0.001012645,0.000202529,,
high,spenceri,mu.S1_SP,normal,0.001012645,0.000202529,,
high,spenceri,mu.S2_SP,normal,0.001012645,0.000202529,,
high,spenceri,mu.S3_SP,normal,0.001016613,0.000203323,,
high,spenceri,mu.S4_SP,normal,0.001016613,0.000203323,,
high,spenceri,mu.A1_SP,normal,0.001016613,0.000203323,,
high,spenceri,mu.A2_SP,normal,0.001016613,0.000203323,,
high,spenceri,gamma.J_SP,normal,0.008557714,0.001711543,,
high,spenceri,gamma.S1_SP,normal,0.008557714,0.001711543,,
high,spenceri,gamma.S2_SP,normal,0.008557714,0.001711543,,
high,spenceri,gamma.S3_SP,normal,0.008557714,0.001711543,,
high,spenceri,gamma.S4_SP,normal,0.008557714,0.001711543,,
high,spenceri,gamma.A1_SP,normal,0.008557714,0.001711543,,
high,spenceri,gamma.A2_SP,normal,0.008557714,0.001711543,,
high,spenceri,lambda.L_SP,uniform,0.05,,0.005,0.5
high,spenceri,lambda.J_SP,uniform,0.05,,0.005,0.5
high,spenceri,lambda.S1_SP,uniform,0.05,,0.005,0.5
high,spenceri,lambda.S2_SP,uniform,0.05,,0.005,0.5
high,spenceri,lambda.S3_SP,uniform,0.05,,0.005,0.5
high,spenceri,lambda.S4_SP,uniform,0.05,,0.005,0.5
high,spenceri,lambda.A1_SP,uniform,0.05,,0.005,0.5
high,spenceri,lambda.A2_SP,uniform,0.05,,0.005,0.5
high,lesueurii,f_LE,normal,0.384531,0.0769062,,
high,lesueurii,beta.L_LE,uniform,0.00001,0,0.000001,0.0001
high,lesueurii,beta.J_LE,uniform,0.000001,0,0.0000001,0.00001
high,lesueurii,beta.S1_LE,uniform,0.000001,0,0.0000001,0.00001
high,lesueurii,beta.S2_LE,uniform,0.000001,0,0.0000001,0.00001
high,lesueurii,beta.S3_LE,uniform,0.000001,0,0.0000001,0.00001
high,lesueurii,beta.A1_LE,uniform,0.000001,0,0.0000001,0.00001
high,lesueurii,beta.A2_LE,uniform,0.000001,0,0.0000001,0.00001
high,lesueurii,m.L_LE,normal,0.008100032,0.001620006,,
high,lesueurii,m.J_LE,normal,0.008100032,0.001620006,,
high,lesueurii,m.S1_LE,normal,0.000621645,0.000124329,,
high,lesueurii,m.S2_LE,normal,0.000570561,0.000114112,,
high,lesueurii,m.S3_LE,normal,0.000350228,7.00E-05,,
high,lesueurii,m.A1_LE,normal,0.000344009,6.88E-05,,
high,lesueurii,m.A2_LE,normal,0.000344009,6.88E-05,,
high,lesueurii,mu.J_LE,normal,0.003045747,0.000609149,,
high,lesueurii,mu.S1_LE,normal,0.003045747,0.000609149,,
high,lesueurii,mu.S2_LE,normal,0.003138915,0.000627783,,
high,lesueurii,mu.S3_LE,normal,0.003587215,0.000717443,,
high,lesueurii,mu.A1_LE,normal,0.003597381,0.000719476,,
high,lesueurii,mu.A2_LE,normal,0.003597381,0.000719476,,
high,lesueurii,gamma.J_LE,normal,0.008153232,0.001630646,,
high,lesueurii,gamma.S1_LE,normal,0.008153232,0.001630646,,
high,lesueurii,gamma.S2_LE,normal,0.008153232,0.001630646,,
high,lesueurii,gamma.S3_LE,normal,0.008153232,0.001630646,,
high,lesueurii,gamma.A1_LE,normal,0.008153232,0.001630646,,
high,lesueurii,gamma.A2_LE,normal,0.008153232,0.001630646,,
high,lesueurii,lambda.L_LE,uniform,0.05,,0.005,0.5
high,lesueurii,lambda.J_LE,uniform,0.05,,0.005,0.5
high,lesueurii,lambda.S1_LE,uniform,0.05,,0.005,0.5
high,lesueurii,lambda.S2_LE,uniform,0.05,,0.005,0.5
high,lesueurii,lambda.S3_LE,uniform,0.05,,0.005,0.5
high,lesueurii,lambda.A1_LE,uniform,0.05,,0.005,0.5
high,lesueurii,lambda.A2_LE,uniform,0.05,,0.005,0.5
high,Bd,gamma.Z,normal,0.5,0.1,,
