elevation,species,symbol,dist,mean,sd,lower,upper
low,spenceri,f_SP,normal,0.1449919,0.02899838,,
low,spenceri,beta.L_SP,uniform,0.00001,0,0.000001,0.0001
low,spenceri,beta.J_SP,uniform,0.000001,0,0.0000001,0.00001
low,spenceri,beta.S1_SP,uniform,0.000001,0,0.0000001,0.00001
low,spenceri,beta.S2_SP,uniform,0.000001,0,0.0000001,0.00001
low,spenceri,beta.A1_SP,uniform,0.000001,0,0.0000001,0.00001
low,spenceri,beta.A2_SP,uniform,0.000001,0,0.0000001,0.00001
low,spenceri,m.L_SP,normal,0.012355781,0.00247,,
low,spenceri,m.J_SP,normal,0.012355781,0.00247,,
low,spenceri,m.S1_SP,normal,0.001703444,0.00034,,
low,spenceri,m.S2_SP,normal,0.001613116,0.00032,,
low,spenceri,m.A1_SP,normal,0.001214156,0.00024,,
low,spenceri,m.A2_SP,normal,0.001214156,0.00024,,
low,spenceri,mu.J_SP,normal,0.000557098,0.00011,,
low,spenceri,mu.S1_SP,normal,0.000557098,0.00011,,
low,spenceri,mu.S2_SP,normal,0.000580702,0.00012,,
low,spenceri,mu.A1_SP,normal,0.000684231,0.00014,,
low,spenceri,mu.A2_SP,normal,0.000684231,0.00014,,
low,spenceri,gamma.J_SP,normal,0.008557714,0.00171,,
low,spenceri,gamma.S1_SP,normal,0.008557714,0.00171,,
low,spenceri,gamma.S2_SP,normal,0.008557714,0.00171,,
low,spenceri,gamma.A1_SP,normal,0.008557714,0.00171,,
low,spenceri,gamma.A2_SP,normal,0.008557714,0.00171,,
low,spenceri,lambda.L_SP,uniform,0.05,,0.005,0.5
low,spenceri,lambda.J_SP,uniform,0.05,,0.005,0.5
low,spenceri,lambda.S1_SP,uniform,0.05,,0.005,0.5
low,spenceri,lambda.S2_SP,uniform,0.05,,0.005,0.5
low,spenceri,lambda.A1_SP,uniform,0.05,,0.005,0.5
low,spenceri,lambda.A2_SP,uniform,0.05,,0.005,0.5
low,lesueurii,f_LE,normal,0.3550744,0.07101488,,
low,lesueurii,beta.L_LE,uniform,0.00001,0,0.000001,0.0001
low,lesueurii,beta.J_LE,uniform,0.000001,0,0.0000001,0.00001
low,lesueurii,beta.S1_LE,uniform,0.000001,0,0.0000001,0.00001
low,lesueurii,beta.A1_LE,uniform,0.000001,0,0.0000001,0.00001
low,lesueurii,beta.A2_LE,uniform,0.000001,0,0.0000001,0.00001
low,lesueurii,m.L_LE,normal,0.008100032,0.00162,,
low,lesueurii,m.J_LE,normal,0.008100032,0.00162,,
low,lesueurii,m.S1_LE,normal,0.000961581,0.00019,,
low,lesueurii,m.A1_LE,normal,0.000467913,0.00009,,
low,lesueurii,m.A2_LE,normal,0.000467913,0.00009,,
low,lesueurii,mu.J_LE,normal,0.002363699,0.00047,,
low,lesueurii,mu.S1_LE,normal,0.002363699,0.00047,,
low,lesueurii,mu.A1_LE,normal,0.003226453,0.00065,,
low,lesueurii,mu.A2_LE,normal,0.003226453,0.00065,,
low,lesueurii,gamma.J_LE,normal,0.008153232,0.00163,,
low,lesueurii,gamma.S1_LE,normal,0.008153232,0.00163,,
low,lesueurii,gamma.A1_LE,normal,0.008153232,0.00163,,
low,lesueurii,gamma.A2_LE,normal,0.008153232,0.00163,,
low,lesueurii,lambda.L_LE,uniform,0.05,,0.005,0.5
low,lesueurii,lambda.J_LE,uniform,0.05,,0.005,0.5
low,lesueurii,lambda.S1_LE,uniform,0.05,,0.005,0.5
low,lesueurii,lambda.A1_LE,uniform,0.05,,0.005,0.5
low,lesueurii,lambda.A2_LE,uniform,0.05,,0.005,0.5
low,lesueurii,gamma.Z,normal,0.5,0.1,,
