elevation,species,symbol,dist,mean,sd,lower,upper
moderate,spenceri,f_SP,normal,0.1282787,0.02565574,,
moderate,spenceri,beta.L_SP,uniform,0.00001,,0.000001,0.0001
moderate,spenceri,beta.J_SP,uniform,0.000001,,0.0000001,0.00001
moderate,spenceri,beta.S1_SP,uniform,0.000001,,0.0000001,0.00001
moderate,spenceri,beta.S2_SP,uniform,0.000001,,0.0000001,0.00001
moderate,spenceri,beta.S3_SP,uniform,0.000001,,0.0000001,0.00001
moderate,spenceri,beta.A1_SP,uniform,0.000001,,0.0000001,0.00001
moderate,spenceri,beta.A2_SP,uniform,0.000001,,0.0000001,0.00001
moderate,spenceri,m.L_SP,normal,0.012355781,0.002471156,,
moderate,spenceri,m.J_SP,normal,0.012355781,0.002471156,,
moderate,spenceri,m.S1_SP,normal,0.001358732,0.000271746,,
moderate,spenceri,m.S2_SP,normal,0.001292068,0.000258414,,
moderate,spenceri,m.S3_SP,normal,0.001012645,0.000202529,,
moderate,spenceri,m.A1_SP,normal,0.001000776,0.000200155,,
moderate,spenceri,m.A2_SP,normal,0.001000776,0.000200155,,
moderate,spenceri,mu.J_SP,normal,0.000813861,0.000162772,,
moderate,spenceri,mu.S1_SP,normal,0.000813861,0.000162772,,
moderate,spenceri,mu.S2_SP,normal,0.000824945,0.000164989,,
moderate,spenceri,mu.S3_SP,normal,0.000869738,0.000173948,,
moderate,spenceri,mu.A1_SP,normal,0.000869738,0.000173948,,
moderate,spenceri,mu.A2_SP,normal,0.000869738,0.000173948,,
moderate,spenceri,gamma.J_SP,normal,0.008557714,0.001711543,,
moderate,spenceri,gamma.S1_SP,normal,0.008557714,0.001711543,,
moderate,spenceri,gamma.S2_SP,normal,0.008557714,0.001711543,,
moderate,spenceri,gamma.S3_SP,normal,0.008557714,0.001711543,,
moderate,spenceri,gamma.A1_SP,normal,0.008557714,0.001711543,,
moderate,spenceri,gamma.A2_SP,normal,0.008557714,0.001711543,,
moderate,spenceri,lambda.L_SP,uniform,0.05,,0.005,0.5
moderate,spenceri,lambda.J_SP,uniform,0.05,,0.005,0.5
moderate,spenceri,lambda.S1_SP,uniform,0.05,,0.005,0.5
moderate,lesueurii,lambda.S2_SP,uniform,0.05,,0.005,0.5
moderate,lesueurii,lambda.S3_SP,uniform,0.05,,0.005,0.5
moderate,lesueurii,lambda.A1_SP,uniform,0.05,,0.005,0.5
moderate,lesueurii,lambda.A2_SP,uniform,0.05,,0.005,0.5
moderate,lesueurii,f_LE,normal,0.3702831,0.07405662,,
moderate,lesueurii,beta.L_LE,uniform,0.00001,,0.000001,0.0001
moderate,lesueurii,beta.J_LE,uniform,0.000001,,0.0000001,0.00001
moderate,lesueurii,beta.S1_LE,uniform,0.000001,,0.0000001,0.00001
moderate,lesueurii,beta.S2_LE,uniform,0.000001,,0.0000001,0.00001
moderate,lesueurii,beta.A1_LE,uniform,0.000001,,0.0000001,0.00001
moderate,lesueurii,beta.A2_LE,uniform,0.000001,,0.0000001,0.00001
moderate,lesueurii,m.L_LE,normal,0.008100032,0.001620006,,
moderate,lesueurii,m.J_LE,normal,0.008100032,0.001620006,,
moderate,lesueurii,m.S1_LE,normal,0.000701872,0.000140374,,
moderate,lesueurii,m.S2_LE,normal,0.000642349,0.00012847,,
moderate,lesueurii,m.A1_LE,normal,0.000375249,7.50E-05,,
moderate,lesueurii,m.A2_LE,normal,0.000375249,7.50E-05,,
moderate,lesueurii,mu.J_LE,normal,0.002860614,0.000572123,,
moderate,lesueurii,mu.S1_LE,normal,0.002860614,0.000572123,,
moderate,lesueurii,mu.S2_LE,normal,0.002963713,0.000592743,,
moderate,lesueurii,mu.A1_LE,normal,0.003487577,0.000697515,,
moderate,lesueurii,mu.A2_LE,normal,0.003487577,0.000697515,,
moderate,lesueurii,gamma.J_LE,normal,0.008153232,0.001630646,,
moderate,lesueurii,gamma.S1_LE,normal,0.008153232,0.001630646,,
moderate,lesueurii,gamma.S2_LE,normal,0.008153232,0.001630646,,
moderate,lesueurii,gamma.A1_LE,normal,0.008153232,0.001630646,,
moderate,lesueurii,gamma.A2_LE,normal,0.008153232,0.001630646,,
moderate,lesueurii,lambda.L_LE,uniform,0.05,,0.005,0.5
moderate,lesueurii,lambda.J_LE,uniform,0.05,,0.005,0.5
moderate,lesueurii,lambda.S1_LE,uniform,0.05,,0.005,0.5
moderate,lesueurii,lambda.S2_LE,uniform,0.05,,0.005,0.5
moderate,lesueurii,lambda.A1_LE,uniform,0.05,,0.005,0.5
moderate,lesueurii,lambda.A2_LE,uniform,0.05,,0.005,0.5
moderate,Bd,gamma.Z,normal,0.5,0.1,,
